,idDem,cantMujeres,porcentajeMujeres
212,dem213,42543.0,51.21
213,dem214,23786.0,50.66
214,dem215,84634.0,51.78
215,dem216,14413.0,50.85
216,dem217,257525.0,51.59
217,dem218,7474.0,48.19
218,dem219,19665.0,49.34
219,dem220,60450.0,50.35
220,dem221,32446.0,49.57
221,dem222,12217.0,48.03
222,dem223,268991.0,50.63
223,dem224,42206.0,47.95
224,dem225,2711.0,44.72
225,dem226,6889.0,48.17
226,dem227,11460.0,50.19
227,dem228,3778.0,47.36
228,dem229,1899.0,48.84
229,dem230,5908.0,48.71
230,dem231,34945.0,50.74
231,dem232,7076.0,50.12
232,dem233,19292.0,46.47
233,dem234,14878.0,48.94
234,dem235,9070.0,49.65
235,dem236,5800.0,47.17
236,dem237,13445.0,50.34
237,dem238,1185027.0,53.2
238,dem239,11552.0,51.49
239,dem240,8602.0,49.3
240,dem241,7975.0,49.78
241,dem242,161501.0,52.4
242,dem243,66505.0,52.14
243,dem244,12341.0,50.75
244,dem245,14507.0,50.33
245,dem246,9048.0,50.12
246,dem247,47389.0,51.61
247,dem248,72344.0,53.3
248,dem249,29348.0,51.97
249,dem250,29487.0,51.39
250,dem251,82382.0,51.53
251,dem252,17908.0,52.74
252,dem253,6395.0,52.53
253,dem254,182269.0,52.18
254,dem255,7714.0,50.4
255,dem256,7800.0,50.15
256,dem257,19316.0,52.49
257,dem258,21258.0,50.45
258,dem259,9567.0,49.76
259,dem260,111807.0,52.57
260,dem261,6270.0,49.24
261,dem262,7998.0,49.93
262,dem263,55284.0,51.51
263,dem264,22054.0,52.6
264,dem265,23711.0,47.57
265,dem266,21674.0,49.34
266,dem267,28022.0,50.44
267,dem268,84883.0,50.4
268,dem269,18378.0,49.78
269,dem270,5872.0,47.63
270,dem271,8179.0,47.52
271,dem272,8791.0,50.13
272,dem273,4077.0,46.19
273,dem274,5979.0,48.45
274,dem275,17867.0,49.25
275,dem276,5817.0,48.61
276,dem277,735.0,44.98
277,dem278,11482.0,48.8
278,dem279,17446.0,49.42
279,dem280,28689.0,50.87
280,dem281,18834.0,49.9
281,dem282,32186.0,49.62
282,dem283,7793.0,48.42
283,dem284,16751.0,47.33
284,dem285,2888.0,51.16
285,dem286,9221.0,49.1
286,dem287,16608.0,49.64
287,dem288,25537.0,48.35
288,dem289,9912.0,47.34
289,dem290,34001.0,46.77
290,dem291,6032.0,51.62
291,dem292,4933.0,49.76
292,dem293,42753.0,51.98
293,dem294,5916.0,47.07
294,dem295,8428.0,49.29
295,dem296,3658.0,48.26
296,dem297,68734.0,52.0
297,dem298,5499.0,50.17
298,dem299,10240.0,49.79
299,dem300,11202.0,50.76
300,dem301,16700.0,51.08
301,dem302,3766.0,49.38
302,dem303,12132.0,50.79
303,dem304,10952.0,49.64
304,dem305,2837.0,49.05
305,dem306,71775.0,51.82
306,dem307,2126.0,47.93
307,dem308,4241.0,50.34
308,dem309,52099.0,51.57
309,dem310,6552.0,49.32
310,dem311,13658.0,44.75
311,dem312,7678.0,50.03
312,dem313,1374.0,48.24
313,dem314,3143.0,49.69
314,dem315,2192.0,49.32
315,dem316,3020.0,48.46
316,dem317,1056.0,46.3
317,dem318,2988.0,51.31
318,dem319,15203.0,50.9
319,dem320,4885.0,48.46
320,dem321,2980.0,48.66
321,dem322,57027.0,50.8
322,dem323,1839.0,49.21
323,dem324,3795.0,47.35
324,dem325,66581.0,51.13
