,idEdu,coberturaNeta
318,edu319,90.3
319,edu320,115.84
320,edu321,106.94
321,edu322,0.0
322,edu323,94.21
323,edu324,94.33
324,edu325,95.42
325,edu326,89.77
326,edu327,92.81
327,edu328,96.42
328,edu329,89.67
329,edu330,90.75
330,edu331,102.66
331,edu332,101.3
332,edu333,101.85
333,edu334,104.63
334,edu335,132.57
335,edu336,131.34
336,edu337,132.45
337,edu338,131.22
338,edu339,135.17
339,edu340,135.42
340,edu341,130.69
341,edu342,94.55
342,edu343,0.0
343,edu344,90.66
344,edu345,92.28
345,edu346,86.93
346,edu347,131.74
347,edu348,0.0
348,edu349,94.26
349,edu350,94.84
350,edu351,125.52
351,edu352,89.1
352,edu353,90.59
353,edu354,87.87
354,edu355,80.77
355,edu356,91.41
356,edu357,58.52
357,edu358,58.87
358,edu359,48.18
359,edu360,81.97
360,edu361,99.23
361,edu362,99.03
362,edu363,101.29
363,edu364,99.92
364,edu365,97.01
365,edu366,97.93
366,edu367,95.22
367,edu368,86.72
368,edu369,86.47
369,edu370,0.0
370,edu371,69.2
371,edu372,77.58
372,edu373,75.16
373,edu374,74.5
374,edu375,85.78
375,edu376,87.45
376,edu377,88.22
377,edu378,84.51
378,edu379,80.31
379,edu380,78.77
380,edu381,71.98
381,edu382,69.81
382,edu383,67.82
383,edu384,76.19
384,edu385,0.0
385,edu386,74.42
386,edu387,70.71
387,edu388,58.97
388,edu389,80.56
389,edu390,78.25
390,edu391,0.0
391,edu392,80.6
392,edu393,73.46
393,edu394,66.05
394,edu395,62.31
395,edu396,75.64
396,edu397,86.97
397,edu398,85.12
398,edu399,83.75
399,edu400,80.39
400,edu401,78.23
401,edu402,75.22
402,edu403,99.11
403,edu404,100.85
404,edu405,103.31
405,edu406,102.29
406,edu407,114.37
407,edu408,100.83
408,edu409,101.47
409,edu410,94.5
410,edu411,94.31
411,edu412,93.22
412,edu413,95.15
413,edu414,0.0
414,edu415,106.36
415,edu416,108.51
416,edu417,114.07
417,edu418,109.87
418,edu419,111.51
419,edu420,113.1
420,edu421,94.09
421,edu422,82.53
422,edu423,90.18
423,edu424,88.41
424,edu425,86.27
425,edu426,84.91
426,edu427,83.59
427,edu428,83.03
428,edu429,91.16
429,edu430,89.0
430,edu431,86.25
431,edu432,81.11
432,edu433,85.36
433,edu434,83.73
434,edu435,77.84
435,edu436,88.08
436,edu437,74.58
437,edu438,73.04
438,edu439,76.99
439,edu440,96.75
440,edu441,96.21
441,edu442,94.74
442,edu443,94.62
443,edu444,87.96
444,edu445,84.45
445,edu446,87.92
446,edu447,92.06
447,edu448,102.96
448,edu449,95.87
449,edu450,94.39
450,edu451,108.57
451,edu452,85.27
452,edu453,115.57
453,edu454,118.64
454,edu455,112.23
455,edu456,113.17
456,edu457,113.75
457,edu458,109.6
458,edu459,106.03
459,edu460,94.2
460,edu461,95.62
461,edu462,0.0
462,edu463,0.0
463,edu464,0.0
464,edu465,0.0
465,edu466,0.0
466,edu467,0.0
467,edu468,0.0
468,edu469,0.0
469,edu470,0.0
470,edu471,104.37
471,edu472,105.21
472,edu473,104.43
473,edu474,95.38
474,edu475,101.9
475,edu476,101.29
476,edu477,99.34
477,edu478,96.27
478,edu479,81.79
479,edu480,80.89
480,edu481,0.0
481,edu482,100.08
482,edu483,78.29
483,edu484,73.8
484,edu485,91.68
485,edu486,91.57
486,edu487,77.78
487,edu488,79.82
488,edu489,98.84
489,edu490,100.6
490,edu491,97.73
491,edu492,97.22
492,edu493,102.46
493,edu494,106.27
494,edu495,97.74
495,edu496,97.7
496,edu497,0.0
497,edu498,99.44
498,edu499,103.43
499,edu500,108.35
500,edu501,107.73
501,edu502,102.06
502,edu503,104.8
503,edu504,106.58
504,edu505,107.13
505,edu506,0.0
506,edu507,104.38
507,edu508,104.25
508,edu509,88.6
509,edu510,94.83
510,edu511,83.01
511,edu512,79.25
512,edu513,80.97
513,edu514,81.23
514,edu515,80.4
515,edu516,87.13
516,edu517,86.55
517,edu518,0.0
518,edu519,95.31
519,edu520,88.49
520,edu521,87.18
521,edu522,86.26
522,edu523,86.56
523,edu524,84.9
524,edu525,0.0
525,edu526,97.35
526,edu527,92.42
527,edu528,90.37
528,edu529,92.1
529,edu530,76.65
530,edu531,90.58
531,edu532,90.68
532,edu533,85.77
533,edu534,83.45
534,edu535,78.92
535,edu536,97.54
536,edu537,99.55
537,edu538,75.58
538,edu539,76.11
539,edu540,76.9
540,edu541,73.47
541,edu542,72.26
542,edu543,66.8
