,idVio,homiMuj,violenciaMuj,tasaVioMuj,cSecuestros,cDesplazadas,cDesplaExp,cHomicidios
104,vio105,0.0,830.0,2656.0,0,0,0,105750.0
105,vio106,0.0,490.0,223.0,0,0,0,69770.0
106,vio107,0.0,1240.0,6776.0,0,0,0,143590.0
107,vio108,0.0,520.0,10875.0,0,0,0,22430.0
108,vio109,0.0,310.0,297.0,0,0,0,34160.0
109,vio110,0.0,1010.0,5388.0,0,0,0,85380.0
110,vio111,0.0,150.0,1737.0,0,0,0,23570.0
111,vio112,0.0,680.0,12399.0,0,0,0,204160.0
112,vio113,0.0,240.0,2877.0,0,0,0,56740.0
113,vio114,0.0,4500.0,5032.0,0,0,0,211950.0
114,vio115,0.0,250.0,483.0,0,0,0,29140.0
115,vio116,0.0,160.0,9641.0,0,0,0,3360.0
116,vio117,0.0,640.0,1606.0,0,0,0,895920.0
117,vio118,0.0,830.0,1265.0,0,0,0,196010.0
118,vio119,0.0,380.0,2997.0,0,0,0,464370.0
119,vio120,0.0,0.0,518.0,0,0,0,95500.0
120,vio121,0.0,50.0,3003.0,0,0,0,172020.0
121,vio122,0.0,10.0,1819.0,0,0,0,107560.0
122,vio123,0.0,150.0,1312.0,0,0,0,110630.0
123,vio124,0.0,90.0,2615.0,0,0,0,125810.0
124,vio125,0.0,240.0,3376.0,0,0,0,284750.0
125,vio126,0.0,90.0,2622.0,0,0,0,266930.0
126,vio127,0.0,980.0,5607.0,0,0,0,69150.0
127,vio128,0.0,80.0,1758.0,0,0,0,21460.0
128,vio129,0.0,1130.0,1588.0,0,0,0,71490.0
129,vio130,0.0,250.0,4028.0,0,0,0,181550.0
130,vio131,0.0,100.0,1316.0,0,0,0,39810.0
131,vio132,0.0,930.0,3454.0,0,0,0,174920.0
132,vio133,0.0,90.0,3309.0,0,0,0,131250.0
133,vio134,0.0,2120.0,6453.0,0,0,0,23640.0
134,vio135,0.0,340.0,436.0,0,0,0,154200.0
135,vio136,0.0,90.0,1953.0,0,0,0,86470.0
136,vio137,0.0,160.0,5277.0,0,0,0,169730.0
137,vio138,0.0,120.0,320.0,0,0,0,51950.0
138,vio139,0.0,60.0,1449.0,0,0,0,32840.0
139,vio140,0.0,0.0,924.0,0,0,0,3430.0
140,vio141,0.0,40.0,0.0,0,0,0,3450.0
141,vio142,0.0,0.0,1647.0,0,0,0,740.0
142,vio143,0.0,0.0,507.0,0,0,0,1040.0
143,vio144,0.0,0.0,598.0,0,0,0,73940.0
144,vio145,0.0,0.0,1162.0,0,0,0,2860.0
145,vio146,0.0,0.0,0.0,0,0,0,470.0
146,vio147,0.0,0.0,10081.0,0,0,0,14340.0
147,vio148,0.0,80.0,75.0,0,0,0,1190.0
148,vio149,0.0,0.0,0.0,0,0,0,2230.0
149,vio150,0.0,0.0,942.0,0,0,0,850.0
150,vio151,0.0,0.0,862.0,0,0,0,180.0
151,vio152,0.0,0.0,1323.0,0,0,0,150.0
152,vio153,0.0,40.0,3173.0,0,0,0,11520.0
